KALEIDOSCOPE 5.6.8 2024 August 14, Wednesday 14:07:56
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_204625.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_204640.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_204656.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_204924.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_205046.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_205102.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_205132.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_205117.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_205522.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_205637.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_205706.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_205734.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_205755.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_205920.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210007.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210039.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210054.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210110.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210129.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210216.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210151.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210237.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210331.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210409.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210425.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210452.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210514.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210525.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210854.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210840.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210712.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210812.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210915.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210936.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_210957.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211005.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211019.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211033.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211041.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211050.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211103.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211127.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211136.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211151.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211209.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211226.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211250.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211300.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211316.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211326.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211616.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211749.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211803.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211815.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211825.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211855.wav 256000x1
INPUT /Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3/SMU08448_20240613_211921.wav 256000x1
