INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3,,SMU08448_20240613_204656.wav,10.534,2024-06-13,20:46:56,20,2024-06-13,08:46:56,8,41.76939,12.42317,Song Meter Mini Bat,SMU08448,4.3,SMU08448,,,,,,,1,,,,,,swkujJb/sK0H75PbWYEvVA==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3,,SMU08448_20240613_205522.wav,5.004,2024-06-13,20:55:22,20,2024-06-13,08:55:22,8,41.76939,12.42317,Song Meter Mini Bat,SMU08448,4.3,SMU08448,,,,,,,1,,,,,,7w39Ga/lMqkpKiC4ps37tA==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3,,SMU08448_20240613_204625.wav,15,2024-06-13,20:46:25,20,2024-06-13,08:46:25,8,41.76939,12.42317,Song Meter Mini Bat,SMU08448,4.3,SMU08448,,,,,,,1,,,,,,yVIIiMK+qjDi2E5ZXoKmCQ==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3,,SMU08448_20240613_205132.wav,15,2024-06-13,20:51:32,20,2024-06-13,08:51:32,8,41.76939,12.42317,Song Meter Mini Bat,SMU08448,4.3,SMU08448,,,,,,,1,,,,,,WpRentpHP4Bj2ymFrylipQ==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3,,SMU08448_20240613_205102.wav,15,2024-06-13,20:51:02,20,2024-06-13,08:51:02,8,41.76939,12.42317,Song Meter Mini Bat,SMU08448,4.3,SMU08448,,,,,,,1,,,,,,Hy0oT3j6PviGE+ZvYQqMaw==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3,,SMU08448_20240613_204640.wav,15,2024-06-13,20:46:40,20,2024-06-13,08:46:40,8,41.76939,12.42317,Song Meter Mini Bat,SMU08448,4.3,SMU08448,,,,,,,1,,,,,,f32p85Abm4bl9F779bGGiw==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3,,SMU08448_20240613_204924.wav,11.659,2024-06-13,20:49:24,20,2024-06-13,08:49:24,8,41.76939,12.42317,Song Meter Mini Bat,SMU08448,4.3,SMU08448,,,,,,,1,,,,,,2MlskVNRl4vjDbS+VE/cRg==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3,,SMU08448_20240613_205117.wav,15,2024-06-13,20:51:17,20,2024-06-13,08:51:17,8,41.76939,12.42317,Song Meter Mini Bat,SMU08448,4.3,SMU08448,,,,,,,1,,,,,,ULeMulDXB3r8SeaaVNS01Q==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3,,SMU08448_20240613_205046.wav,15,2024-06-13,20:50:46,20,2024-06-13,08:50:46,8,41.76939,12.42317,Song Meter Mini Bat,SMU08448,4.3,SMU08448,,,,,,,1,,,,,,Uss25YlZAGL2ABI5pKuvbg==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 3,,SMU08448_20240613_205637.wav,4.179,2024-06-13,20:56:37,20,2024-06-13,08:56:37,8,41.76939,12.42317,Song Meter Mini Bat,SMU08448,4.3,SMU08448,,,,,,,1,,,,,,e6yU02JbhyjDhHr5ivXXZQ==
