DATE,TIME,LAT,NS,LON,EW,POWER(V),TEMP(C),#FSFILES,#ZCFILES,#SCRUBBED
2024-Jun-10,20:45:00,41.75729,N,12.39586,E,5.5,23.75,0,0,3
2024-Jun-10,20:46:00,41.75729,N,12.39586,E,5.5,23.75,0,0,0
2024-Jun-10,20:47:00,41.75729,N,12.39586,E,5.5,23.75,0,0,2
2024-Jun-10,20:48:00,41.75729,N,12.39586,E,5.5,23.75,0,0,0
2024-Jun-10,20:49:00,41.75729,N,12.39586,E,5.5,23.75,0,0,1
2024-Jun-10,20:50:00,41.75729,N,12.39586,E,5.5,23.75,0,0,1
2024-Jun-10,20:51:00,41.75729,N,12.39586,E,5.5,23.75,0,0,1
2024-Jun-10,20:52:00,41.75729,N,12.39586,E,5.5,23.75,0,0,0
2024-Jun-10,20:53:00,41.75729,N,12.39586,E,5.5,23.75,0,0,0
2024-Jun-10,20:54:00,41.75729,N,12.39586,E,5.5,23.75,0,0,2
2024-Jun-10,20:55:00,41.75729,N,12.39586,E,5.5,23.75,0,0,2
2024-Jun-10,20:56:00,41.75729,N,12.39586,E,5.5,23.75,0,0,1
2024-Jun-10,20:57:00,41.75729,N,12.39586,E,5.5,23.75,0,0,0
2024-Jun-10,20:58:00,41.75729,N,12.39586,E,5.5,23.75,0,0,1
2024-Jun-10,20:59:00,41.75729,N,12.39586,E,5.5,23.75,0,0,2
2024-Jun-10,21:00:00,41.75729,N,12.39586,E,5.5,23.75,0,0,1
2024-Jun-10,21:01:00,41.75729,N,12.39586,E,5.5,23.75,0,0,1
2024-Jun-10,21:02:00,41.75729,N,12.39586,E,5.5,23.75,0,0,2
2024-Jun-10,21:03:00,41.75729,N,12.39586,E,5.5,23.75,0,0,1
2024-Jun-10,21:04:00,41.75729,N,12.39586,E,5.5,23.75,0,0,1
2024-Jun-10,21:05:00,41.75729,N,12.39586,E,5.5,23.75,0,0,2
2024-Jun-10,21:06:00,41.75729,N,12.39586,E,5.5,23.75,1,0,3
2024-Jun-10,21:07:00,41.75729,N,12.39586,E,5.6,23.50,1,0,1
2024-Jun-10,21:08:00,41.75729,N,12.39586,E,5.5,23.25,1,0,4
2024-Jun-10,21:09:00,41.75729,N,12.39586,E,5.5,23.25,0,0,3
