INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_205100.wav,3.199,2024-06-13,20:51:00,20,2024-06-13,08:51:00,8,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,xQCUiMCaU/SmivV8plbDAA==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_205116.wav,3.354,2024-06-13,20:51:16,20,2024-06-13,08:51:16,8,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,kssx+RsjkyB+zPmCxkdQkA==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_205544.wav,3.484,2024-06-13,20:55:44,20,2024-06-13,08:55:44,8,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,qlaVHlcOiNvHoBFpLBTPOw==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_205457.wav,3.429,2024-06-13,20:54:57,20,2024-06-13,08:54:57,8,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,9qEr4mKdP0maFCejxLV+VQ==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_205730.wav,3.339,2024-06-13,20:57:30,20,2024-06-13,08:57:30,8,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,L0e/MgoapRtspoP9SG9d0w==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_204732.wav,6.129,2024-06-13,20:47:32,20,2024-06-13,08:47:32,8,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,aYhBbXwIMnH+o/PPcyAb6Q==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_205103.wav,3.503,2024-06-13,20:51:03,20,2024-06-13,08:51:03,8,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,ijnh+VPqa21Rvia6D8+8+Q==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_204757.wav,6.399,2024-06-13,20:47:57,20,2024-06-13,08:47:57,8,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,WQKDn0/157k2jkwCASDQwQ==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_205758.wav,3.416,2024-06-13,20:57:58,20,2024-06-13,08:57:58,8,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,enpzWM+avPTAyZ6j+ZdEng==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_210309.wav,3.224,2024-06-13,21:03:09,21,2024-06-13,09:03:09,9,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,9IEMSovk6x3hW9oRyxqC6w==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_205918.wav,3.529,2024-06-13,20:59:18,20,2024-06-13,08:59:18,8,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,B0tlBq518lsvAL7k4jK2xQ==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_210429.wav,3.494,2024-06-13,21:04:29,21,2024-06-13,09:04:29,9,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,q7fxv8hnIdSyvsUa6RFHxA==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_210642.wav,3.464,2024-06-13,21:06:42,21,2024-06-13,09:06:42,9,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,ET8Br+Hh/tcTv+8ruXpUTg==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_210740.wav,3.367,2024-06-13,21:07:40,21,2024-06-13,09:07:40,9,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,idTRku3ork0x3q7nXU/MWw==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_210755.wav,3.457,2024-06-13,21:07:55,21,2024-06-13,09:07:55,9,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,x5eX3k89lDE5/3rMiE5HNg==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_210901.wav,15,2024-06-13,21:09:01,21,2024-06-13,09:09:01,9,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,FEDEvytue/4ADh9x1jvKHw==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_210916.wav,15,2024-06-13,21:09:16,21,2024-06-13,09:09:16,9,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,8Jtte+h0t/nNEdE6akaISQ==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_210932.wav,15,2024-06-13,21:09:32,21,2024-06-13,09:09:32,9,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,fq0/Ff6ajscTcgwvItCv/g==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_210950.wav,6.286,2024-06-13,21:09:50,21,2024-06-13,09:09:50,9,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,5sx0iDhn4WlIjapOcVKnPA==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_211052.wav,15,2024-06-13,21:10:52,21,2024-06-13,09:10:52,9,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,MSyPd0o5BrXIJy1tcJClZg==
/Volumes/Elements/Dati Castelporziano/13-17 Giugno/Data Punto 2,,SMU08424_20240613_211129.wav,14.129,2024-06-13,21:11:29,21,2024-06-13,09:11:29,9,41.76915,12.39512,Song Meter Mini Bat,SMU08424,4.3,SMU08424,,,,,,,1,,,,,,Ca8+JZEDMMx3rSpQl6LOTg==
