INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\Dati Castelporziano\10-13 Giugno\Data Punto 5,,SMU04329_20240610_211202.wav,3.374,2024-06-10,21:12:02,21,2024-06-10,09:12:02,9,41.75729,12.39586,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,8EHwRplvKnsOr+DSwMNleA==
D:\Dati Castelporziano\10-13 Giugno\Data Punto 5,,SMU04329_20240610_211016.wav,5.404,2024-06-10,21:10:16,21,2024-06-10,09:10:16,9,41.75729,12.39586,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,cwWHQ4MPuvt9UWoXg2rv+A==
D:\Dati Castelporziano\10-13 Giugno\Data Punto 5,,SMU04329_20240610_210616.wav,6.354,2024-06-10,21:06:16,21,2024-06-10,09:06:16,9,41.75729,12.39586,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,dHv7F2MtkZwmzyF7IQrigQ==
D:\Dati Castelporziano\10-13 Giugno\Data Punto 5,,SMU04329_20240610_211400.wav,3.324,2024-06-10,21:14:00,21,2024-06-10,09:14:00,9,41.75729,12.39586,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,8gxked2i3docesNgctDY0w==
D:\Dati Castelporziano\10-13 Giugno\Data Punto 5,,SMU04329_20240610_210753.wav,8.804,2024-06-10,21:07:53,21,2024-06-10,09:07:53,9,41.75729,12.39586,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,86+fY9l+RhVDnNhGwzwLPw==
D:\Dati Castelporziano\10-13 Giugno\Data Punto 5,,SMU04329_20240610_210713.wav,8.944,2024-06-10,21:07:13,21,2024-06-10,09:07:13,9,41.75729,12.39586,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,OWcRila7l7NinHborrbSmA==
D:\Dati Castelporziano\10-13 Giugno\Data Punto 5,,SMU04329_20240610_211428.wav,3.364,2024-06-10,21:14:28,21,2024-06-10,09:14:28,9,41.75729,12.39586,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,+K4JH9spKM2JApHPcjIyvg==
D:\Dati Castelporziano\10-13 Giugno\Data Punto 5,,SMU04329_20240610_211508.wav,4.699,2024-06-10,21:15:08,21,2024-06-10,09:15:08,9,41.75729,12.39586,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,uoifWn8uHcx6pZRlyctOlQ==
D:\Dati Castelporziano\10-13 Giugno\Data Punto 5,,SMU04329_20240610_211408.wav,7.544,2024-06-10,21:14:08,21,2024-06-10,09:14:08,9,41.75729,12.39586,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,EV1zHbPXKPDFN89UFsyPzA==
D:\Dati Castelporziano\10-13 Giugno\Data Punto 5,,SMU04329_20240610_211604.wav,3.372,2024-06-10,21:16:04,21,2024-06-10,09:16:04,9,41.75729,12.39586,Song Meter Mini Bat,SMU04329,4.3,SMU04329,,,,,,,1,,,,,,quaRM3j27KdLqweMpvtznw==
